"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ereferral-medication-administration","MedicationAdministration.identifier","MedicationAdministration.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","External identifier","Identifiers associated with this Medication Administration that are defined by business processes and/or used to refer to it when a direct URL reference to the resource itself is not appropriate. They are business identifiers assigned to this resource by the performer or other systems and remain constant as the resource is updated and propagates from server to server.","This is a business identifier, not a resource identifier.","","","","","","","","",,,,,"",,,,"MedicationAdministration.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.instantiates","MedicationAdministration.instantiates","","","",0,*,"","","Y","uri {[]} {[]}
","Instantiates protocol or definition","A protocol, guideline, orderset, or other definition that was adhered to in whole or in part by this event.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.instantiates",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.partOf","MedicationAdministration.partOf","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-medicationadministration], CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-procedure]]}
","Part of referenced event","A larger event of which this particular event is a component or step.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.status","MedicationAdministration.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","Medication administration status","The status of the medication administration. Tracks whether the medication was completed, in-progress, or not administered.","This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","","","","","","","","",,"required","A set of codes indicating the current status of a MedicationAdministration.","http://hl7.org/fhir/ValueSet/medication-admin-status|4.0.1","",,,,"MedicationAdministration.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.statusReason","MedicationAdministration.statusReason","","","",0,*,"Y","","","CodeableConcept {[]} {[]}
","Reason administration not performed","A code indicating why the administration was not performed.","","","","","","","","","",,"example","A set of codes indicating the reason why the MedicationAdministration is negated.","http://hl7.org/fhir/ValueSet/reason-medication-not-given-codes|4.0.1","",,,,"MedicationAdministration.statusReason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.statusReason.id","MedicationAdministration.statusReason.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ereferral-medication-administration","MedicationAdministration.statusReason.extension","MedicationAdministration.statusReason.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.statusReason.coding","MedicationAdministration.statusReason.coding","","","",0,*,"Y","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.statusReason.text","MedicationAdministration.statusReason.text","","","",0,1,"Y","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.category","MedicationAdministration.category","","","",0,1,"Y","","","CodeableConcept {[]} {[]}
","Type of medication usage","Indicates where the medication is expected to be consumed or administered.","","","","","","","","","",,"preferred","A coded concept describing where the medication administered is expected to occur.","http://hl7.org/fhir/ValueSet/medication-admin-category|4.0.1","",,,,"MedicationAdministration.category",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.category.id","MedicationAdministration.category.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ereferral-medication-administration","MedicationAdministration.category.extension","MedicationAdministration.category.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.category.coding","MedicationAdministration.category.coding","","","",0,*,"Y","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.category.text","MedicationAdministration.category.text","","","",0,1,"Y","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.medication[x]","MedicationAdministration.medication[x]","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication|4.0.1]]}","Medication administered","The medication that was administered to the patient. Can be a reference to a Medication resource or a coded concept.","If only a code is specified, then it needs to be a code for a specific product. If more information is required, then the use of the medication resource is recommended.  For example, if you require form or lot number, then you must reference the Medication resource.","","","","","","","","",,"example","Codes identifying substance or product that can be administered.","http://hl7.org/fhir/ValueSet/medication-codes|4.0.1","","type:$this}
","",,"closed","MedicationAdministration.medication[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.medication[x]:medicationReference","MedicationAdministration.medication[x]","medicationReference","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-medication]]}
","What was administered","Identifies the medication that was administered. This is either a link to a resource representing the details of the medication or a simple attribute carrying a code that identifies the medication from a known list of medications.","If only a code is specified, then it needs to be a code for a specific product. If more information is required, then the use of the medication resource is recommended.  For example, if you require form or lot number, then you must reference the Medication resource.","","","","","","","","",,,,,"",,,,"MedicationAdministration.medication[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.medication[x]:medicationCodeableConcept","MedicationAdministration.medication[x]","medicationCodeableConcept","","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","What was administered","Identifies the medication that was administered. This is either a link to a resource representing the details of the medication or a simple attribute carrying a code that identifies the medication from a known list of medications.","If only a code is specified, then it needs to be a code for a specific product. If more information is required, then the use of the medication resource is recommended.  For example, if you require form or lot number, then you must reference the Medication resource.","","","","","","","","",,"preferred","","https://fhir.doh.gov.ph/phcore/ValueSet/drugs-vs","",,,,"MedicationAdministration.medication[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.medication[x]:medicationCodeableConcept.id","MedicationAdministration.medication[x].id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ereferral-medication-administration","MedicationAdministration.medication[x]:medicationCodeableConcept.extension","MedicationAdministration.medication[x].extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.medication[x]:medicationCodeableConcept.coding","MedicationAdministration.medication[x].coding","","","",0,*,"Y","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.medication[x]:medicationCodeableConcept.text","MedicationAdministration.medication[x].text","","","",0,1,"Y","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.subject","MedicationAdministration.subject","","","",1,1,"Y","","Y","Reference {[]} {[CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group]]}
","Patient receiving medication","The patient who received the medication. Constrained to PHCorePatient.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.subject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.context","MedicationAdministration.context","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-encounter], CanonicalType[http://hl7.org/fhir/StructureDefinition/EpisodeOfCare]]}
","Encounter or Episode of Care administered as part of","The visit, admission, or other contact between patient and health care provider during which the medication administration was performed.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.context",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.supportingInformation","MedicationAdministration.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}
","Additional information to support administration","Additional information (for example, patient height and weight) that supports the administration of the medication.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.supportingInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.effective[x]","MedicationAdministration.effective[x]","","","",1,1,"Y","","Y","dateTime {[]} {[]}
Period {[]} {[]}","When medication was administered","The date/time or period when the medication administration occurred.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.effective[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.performer","MedicationAdministration.performer","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Who performed the medication administration and what they did","Indicates who or what performed the medication administration and how they were involved.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.performer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.performer.id","MedicationAdministration.performer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ereferral-medication-administration","MedicationAdministration.performer.extension","MedicationAdministration.performer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.performer.modifierExtension","MedicationAdministration.performer.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.performer.function","MedicationAdministration.performer.function","","","",0,1,"Y","","","CodeableConcept {[]} {[]}
","Type of performance","Distinguishes the type of involvement of the performer in the medication administration.","","","","","","","","","",,"example","A code describing the role an individual played in administering the medication.","http://hl7.org/fhir/ValueSet/med-admin-perform-function|4.0.1","",,,,"MedicationAdministration.performer.function",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.performer.function.id","MedicationAdministration.performer.function.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ereferral-medication-administration","MedicationAdministration.performer.function.extension","MedicationAdministration.performer.function.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.performer.function.coding","MedicationAdministration.performer.function.coding","","","",0,*,"Y","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.performer.function.text","MedicationAdministration.performer.function.text","","","",0,1,"Y","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.performer.actor","MedicationAdministration.performer.actor","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-practitioner], CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-practitionerrole], CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-patient], CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-relatedperson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Who performed the medication administration","Indicates who or what performed the medication administration.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.performer.actor",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.reasonCode","MedicationAdministration.reasonCode","","","",0,*,"Y","","","CodeableConcept {[]} {[]}
","Reason administration performed","A code indicating why the medication was given.","","","","","","","","","",,"example","A set of codes indicating the reason why the MedicationAdministration was made.","http://hl7.org/fhir/ValueSet/reason-medication-given-codes|4.0.1","",,,,"MedicationAdministration.reasonCode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.reasonCode.id","MedicationAdministration.reasonCode.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ereferral-medication-administration","MedicationAdministration.reasonCode.extension","MedicationAdministration.reasonCode.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.reasonCode.coding","MedicationAdministration.reasonCode.coding","","","",0,*,"Y","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.reasonCode.text","MedicationAdministration.reasonCode.text","","","",0,1,"Y","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.reasonReference","MedicationAdministration.reasonReference","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-observation], CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport]]}
","Condition or observation that supports why the medication was administered","Condition or observation that supports why the medication was administered.","This is a reference to a condition that is the reason for the medication request.  If only a code exists, use reasonCode.","","","","","","","","",,,,,"",,,,"MedicationAdministration.reasonReference",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.request","MedicationAdministration.request","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir.doh.gov.ph/phcore/StructureDefinition/ph-core-medicationrequest]]}
","Request administration performed against","The original request, instruction or authority to perform the administration.","This is a reference to the MedicationRequest  where the intent is either order or instance-order.  It should not reference MedicationRequests where the intent is any other value.","","","","","","","","",,,,,"",,,,"MedicationAdministration.request",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.device","MedicationAdministration.device","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|4.0.1]]}
","Device used to administer","The device used in administering the medication to the patient.  For example, a particular infusion pump.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.device",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.note","MedicationAdministration.note","","","",0,*,"","","","Annotation {[]} {[]}
","Information about the administration","Extra information about the medication administration that is not conveyed by the other attributes.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ereferral-medication-administration","MedicationAdministration.dosage","MedicationAdministration.dosage","","","",0,1,"","","","BackboneElement {[]} {[]}
","Details of how medication was taken","Describes the medication dosage information details e.g. dose, rate, site, route, etc.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.dosage",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
mad-1:SHALL have at least one of dosage.dose or dosage.rate[x] {dose.exists() or rate.exists()}"
"ereferral-medication-administration","MedicationAdministration.dosage.id","MedicationAdministration.dosage.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ereferral-medication-administration","MedicationAdministration.dosage.extension","MedicationAdministration.dosage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ereferral-medication-administration","MedicationAdministration.dosage.modifierExtension","MedicationAdministration.dosage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
