#,Workflow Task,Element ID,Data Element,Description/Definition,Use Case,Clinical Information Group,Data Type,Source,Examples,Required?,Conditional?,Occurance,Code System / Annotation (e.g. SNOMED),CDG Comments,CDG Status,FHIR Profile,PH CORE IG,Existing External FHIR Profile,FHIR Element (R4),FHIR Cardinality (local),FHIR Data Type,Remarks,Value Set,TDG Status,TDG Comments,"CDG 
consensus",Dr.Alvin ,Dr.Jaime,Dr.Paolo B.,Dr.Juno,Dr.Thomas,Dr.Sofia,Open Questions,JL,JL Decision
,,,Name of the Data Element in the Form,Description/Definition of the data element,,"Name of the clinical information Group (e.g. Referring Provider, Patient, Receiving Provider, Clinical Summary, Medication etc)","Data type in which data is captured; text, coded value etc.). This is not FHIR Data type","What is source of truth for this information (e.g. EMR, paper form etc)",Include Real World example of how data is captured for this element. Paste here or link to images,"Is the Data Element required, conditional or optional?
 (Yes or No)",Only for conditional items. What condition must be true?,,,,,What is the FHIR Resource that will be used to capture the data?,Would this profile be drived from PH CORE IG,Would this be drived from any other existing FHIR Profile / IG,What is the FHIR Resource and Element that will be used to capture the data?,What is the FHIR Cardinality of the selected FHIR path (resource and element)?,What is the FHIR Data Type?,Additional Information about the mapping of data element,Is there a codesystem / valueset required in the form?,,,,,,,,,,List down any open questions regarding this item. ,,
,Create Referral,REF-1,Name of Referring Practitioner ,Printed name of professional,Generic,01 Sending Practitioner (requestor),Name,,,Yes,,,,,Final for TDG,PractitionerRole,,,PractitionerRole.practitioner → Practitioner.name,1..1,Reference/HumanName,Tie to Initiating Facility via PractitionerRole.organization.,—,,,,,,,,Include,,,"OK – Printed name of referring health professional responsible for referral.
 - Prefer PractitionerRole reference; allow text if no provider registry.
 Workflow: Create Referral & Documentation.",Include
,,,Practitioner Role,,Generic,01 Sending Practitioner (requestor),,,"Midwife, District Nurse, District MEdical Officer",,,,,,Final for TDG,,,,,,,,,,,,,,,,Include,,,,
,Create Referral,REF-3,Date & Time of Signature,When signed,Generic,01 Sending Practitioner (requestor),DateTime,,,No,,,,,Future Release,Provenance,,,Provenance.occurredDateTime,0..1,dateTime,,—,,,,,,,,Include,,,"CHANGE – Make signature timestamp conditional + fix Element ID duplication.
 - Condition: required if signature/attestation captured; else auto timestamp on submission.
 - Element ID “REF-3” duplicated in sheet → assign unique ID.
 Workflow: Create Referral & Documentation.",Review
,,,Acomapnies Halthcare Worker,,,Where does this fit? does this need to be included for handover? What is clinical significance,,,,,,,,,,,,,,,,,,,,,,,,,Exclude,,,,,,,,,,
,Create Referral,REF-2,Professional Signature,Signature of the professional,Generic,01 Sending Practitioner (requestor),Signature/ who is signing this? ,,,No,,,,,Future Release,Provenance,,,Provenance.signature (targets ServiceRequest),0..1,Signature,Digital or scanned signature in DocumentReference.,—,,,,,,,,Exclude,,,"OPEN QUESTION – Digital signature/attestation requirement for MVP? This would complicate our eRef
 - Option A: keep Provenance.signature (electronic) or scanned attachment.
 - Option B: typed name + system timestamp as attestation.
 Workflow: Create Referral & Documentation.",Review
,Create Referral,REF-4,Initiating Facility Name,"Referring facility official name. 
Imp: For pregnancy it is Brrangay Name",Generic,02 Sending Facility (requestor),Text,"National Health Facility Registry / 
HIS",Dr Alvin to add example of actual Value,Required,,1.0,National Health Registry Facility Coded / Structured codesysetm,,Final for TDG,Organization,,,Organization.name,1..1,string,Pair with NHFR identifier below.,DOH NHFR Code (identifier system),New,,,,,,,Include,,,"CHANGE – Content OK; fix Element ID collision with REF-3.
- Define as official facility name (prefer auto-populated via NHFR code).
- Barangay detail belongs in address, not facility name.
Workflow: Create Referral & Documentation.",Review
,Create Referral,REF-5,Initiating Facility NHFR Code,DOH National Health Facility Registry code,Generic,02 Sending Facility (requestor),Code,,,Yes,,,,,In-Review,Organization,,,Organization.identifier(system=NHFR),1..1,Identifier,Use the PH-Core NHFR identifier slice.,ph-core-doh-nhfr-code,New,,,,,,,Include,,,"OK – Use NHFR code as primary facility identifier to support routing/auto-fill.
- Conditional: required unless facility not yet in NHFR (use temporary local ID).
Workflow: Create Referral & Documentation.",Include
,Create Referral,REF-6,Initiating Facility Address,Facility address,Generic,02 Sending Facility (requestor),Address,,,No,,,,,Final for TDG,Organization,,,Organization.address,0..*,Address,Use PH-Core address slices.,PH-Core Address,New,,,,,,,Include,,,"OK – Keep optional if address is retrievable from NHFR; else allow manual entry.
Workflow: Create Referral & Documentation.",Include
,Create Referral,REF-7,Initiating Facility Contact Number,Facility phone number,Generic,02 Sending Facility (requestor),Phone Number,,,No,,,,,In-Review,Organization,,,Organization.telecom(system=phone),0..*,ContactPoint,,—,New,,,,,,,Include,,,"OK – Needed for coordination; can be auto-filled from directory.
Workflow: Communicate & Coordinate.",Include
,Create Referral???,REF-8,Receiving Personnel,Name of receiving staff/navigator,Generic,03 Recieving Practitioner,Name,,,No,,,,"is this person recieving practitioner at recieving facility or somewhere in the middle for referral routing? 

If it's middle-person, what's the clinical importance of capturing their name? How will sender know their name?",In-Review,Communication,,,Communication.recipient (Reference to Practitioner/PractitionerRole),0..*,Reference,Capture as recipient; also add PractitionerRole if known.,—,New,,,,,,,Include,,,"CHANGE – Clarify “who/when”: receiving staff/navigator who acknowledged/accepted referral.
Existing note: clarify if this is receiving facility staff vs intermediary (PHU navigator).
- Not expected at referral creation; capture during accept/receipt.
Workflow: Transfer Confirmation / Reception.",Review
,Create Referral,REF-9,Receiving Facility Name,Intended receiving facility,Generic,04 Receiving Facility,Location Name? ,,,Yes,,,,,In-Review,Organization,,,Organization.name,1..1,string,The target Organization.,DOH NHFR Code,New,,,,,,,Include,,,"CHANGE – Receiving facility may change if redirected.
- Define whether to store original target + final receiving facility.
Workflow: Select Receiving Facility.",Review
,Create Referral,REF-10,Receiving Facility NHFR Code,DOH facility code of receiver,Generic,04 Receiving Facility,Code,,,No,,,,,In-Review,Organization,,,Organization.identifier(system=NHFR),0..*,Identifier,,ph-core-doh-nhfr-code,New,,,,,,,Include,,,"CHANGE – Conditional required once final receiving facility is confirmed.
- If Response=Accepted/Redirected, capture NHFR code of the (final) receiving facility.
Workflow: Select Receiving Facility / Transfer Confirmation.",Review
,Create Referral,REF-11,Health Care Provider Network (HCPN) Name,Name of the Health Care Provider Network for Referrals. Referrals can only be be within Network,Generic,05 Referral Request,Free text,,,No,,,,,On-Hold,Organization,,,Organization.name,0..1,string,HCPN header; may be the network Organization separate from facilities.,—,New,,,,,,,Include,,,"CHANGE – Appears as header in referral form, but avoid free-text if possible.
- Prefer computed/selected HCPN (config) rather than manual typing.
- If selectable, use dropdown list “TO DEFINE”.
Workflow: Create Referral & Documentation.",Review
,Create Referral,REF-12,Date of Referral,Date the referral was created,Generic,05 Referral Request,Date,,,Yes,,,,,In-Review,ServiceRequest,,,ServiceRequest.authoredOn,1..1,dateTime,The referral creation timestamp.,—,New,,,,,,,Include,,,"OK – Core field for referral creation; prefer dateTime for audit.
Workflow: Create Referral & Documentation.",Include
,Create Referral,REF-13,Referral Category,Urgency and setting indicated by the referrer (emergency vs outpatient/routine).,Generic,05 Referral Request,List,,,Yes,,,,,In-Review,ServiceRequest (PH Core profile),,,ServiceRequest.priority,1..1,code,"Primary, standards-based capture of the checkbox. Use this even if you also keep a local coded extension.",request-priority (http://hl7.org/fhir/request-priority) with mapping: Emergency → stat; Outpatient → routine.,New,,,,,,,Include,,,"OPEN QUESTION – Harmonize “Emergency vs Outpatient” with PHU triage levels.
- Decide: 1 field (setting) or 2 fields (setting + urgency).
- If using FHIR priority mapping, document allowed values + local extension if needed.
Workflow: Triage & Categorization.",Review
,Attach Clinical Summary,REF-32,Vital Signs – Blood Pressure,"BP at pre-transfer (can we say latest BP, at the time of referral creation??)

Do we need all these vitals for all referrals? or Disease Specific",,07 Clinical Information,Numeric (systolic/diastolic); what about unit?? ,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,Link to referring Encounter.,"LOINC 8480-6 (Sys), 8462-4 (Dia), panel 85354-9",,,,,,,,,,,"CHANGE – Specify units + timestamp; include when clinically required (esp. emergency) - this should be not required.
- mmHg; include systolic/diastolic + time taken.
Workflow: Create Referral & Documentation.",Review
,Attach Clinical Summary,REF-33,Vital Signs – Heart Rate,Pulse rate,,07 Clinical Information,Numeric /// Unit?? or is that TDG thing? ,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 8867-4,,,,,,,,,,,"CHANGE – Specify units + timestamp; include when clinically required (esp. emergency).
- bpm + time taken.
Workflow: Create Referral & Documentation.",Review
,Attach Clinical Summary,REF-34,Vital Signs – Respiratory Rate,Resp rate,,07 Clinical Information,Numeric,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 9279-1,,,,,,,,,,,"CHANGE – Specify units + timestamp; include when clinically required (esp. emergency).
- breaths/min + time taken.
Workflow: Create Referral & Documentation.",Review
,Attach Clinical Summary,REF-35,Vital Signs – Oxygen Saturation,SpO2,,07 Clinical Information,Numeric,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 59408-5,,,,,,,,,,,"CHANGE – Specify units + timestamp; include when clinically required (esp. emergency).
- % SpO2 + device/oxygen support if relevant.
Workflow: Create Referral & Documentation.",Review
,Attach Clinical Summary,REF-36,Vital Signs – Temperature,Body temperature,,07 Clinical Information,Numeric,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 8310-5,,,,,,,,,,,"CHANGE – Specify units + timestamp; include when clinically required (esp. emergency).
- °C + time taken.
Workflow: Create Referral & Documentation.",Review
,Attach Clinical Summary,REF-37,Vital Signs – Weight,Weight (kg),,07 Clinical Information,Numeric,,,No,,,,,,Observation,,,Observation.code + valueQuantity,0..*,Quantity,,LOINC 29463-7,,,,,,,,,,,"CHANGE – Specify units + timestamp; include when clinically required (esp. emergency).
- kg; add height/BMI later if needed.
Workflow: Create Referral & Documentation.",Review
,Attach Clinical Summary,REF-38,Treatment Given,Stabilization procedures/meds,Pregnancy,07 Clinical Information,"Text / Tick??? What treament? break this into individual elements such as, Current Medication, Past Medication, Procedures, ART? etc?? 

Is this also Disease specific? ",,,No,,,,,,Procedure / MedicationAdministration,,,Procedure.code / MedicationAdministration,0..*,CodeableConcept / complex,"Pre-transfer management (IV, oxygen, meds).",SNOMED; RxNorm/ATC/local,,,,,,,,,,,"CHANGE – Clarify scope: stabilization meds/procedures given before transfer.
- Capture as narrative for MVP; consider structured meds/procedures later.
Workflow: Create Referral & Documentation / Transfer.",Review
,Attach Clinical Summary,REF-39,Laboratory Results (attachments),Labs supporting the referral,Pregnancy,07 Clinical Information,File?? Would this be an attachment or latest labe result e.g. HBA1C? What labs we need to transfer? Blood Sugar? GTT??,,,No,,,,,,DiagnosticReport,,,DiagnosticReport + result + presentedForm,0..*,DiagnosticReport/Attachment,Attach PDFs/images; include result Observations.,LOINC codes; local,,,,,,,,,,,"OK – Support attachments; include date, type, and linkage to referral.
- Prefer DocumentReference/DiagnosticReport; allow PDF/image upload.
Workflow: Create Referral & Documentation.",Include
,Assess Patient,REF-40,Working Impression (clinical reason),Provisional diagnosis/assessment motivating referral,Generic,07 Clinical Information,Coded?,,,Yes,,,,,Final for TDG,Condition,,,Condition.code,1..1,CodeableConcept,Reference this Condition from ServiceRequest.reasonReference,(SNOMED CT preferred),New,,,,,,,,,,"OK – Provisional diagnosis/assessment motivating referral.
Workflow: Create Referral & Documentation.",Include
,,REF-41,Transport Mode / Ambulance,How patient was transported,,Logistics,Tick Box/Text  --- Not relevant for our case. ,,,No,,,,,,Task,,,Task.extension(transportMode) or Task.note,0..*,CodeableConcept/string,"If you keep a formal extension, bind to local VS.",ValueSet: TransportMode,,,,,,,,,,,"CHANGE – Relevant for PHU referral workflow documentation.
- Capture planned vs actual transport mode; coded dropdown “TO DEFINE”.
Workflow: Transfer / Patient Reception & Endorsement.",Review
,Triage Referral,REF-42,Response,"Referral outcome, that will be sent back to Sender",Generic,Referral Decision,Coded List?,,,Yes,,,,,In-Review,Task (handling the ServiceRequest),,,Task.businessStatus (code),1..1,CodeableConcept,"Use businessStatus for human-meaningful state (“accepted”, “redirected”). Keep Task.status for the technical state machine (e.g., requested→in-progress→completed).","ValueSet.ReferralDisposition (accepted, declined, redirected)",New,,,,,,,,,,"OK – Aligns with form “Response” and transfer confirmation.
- Bind to VS: accepted/declined/redirected; include timestamp + receiving personnel.
Workflow: Transfer Confirmation.",Include
,,REF-43,Referring Encounter,The encounter context at initiating facility,,System/Back,— not sure what is this??? what is the clinical importance of encounteR??? is it just date time? We have captured all clinical information seperately? ,,,Yes,,,,,,Encounter,,,"Encounter.class, period, serviceType",1..1,Encounter,Reference from Observations/Procedures.,—,,,,,,,,,,,"OK – Encounter linkage supports context; mainly technical.
Workflow: Create Referral & Documentation.",Include
,,REF-44,Receiving Encounter,The encounter context at receiving facility,,System/Back,— same as above? what is clinical importance? why do we need this information? Would this be going back to Sender? ,,,No,,,,,,Encounter,,,"Encounter.class, period",0..1,Encounter,Created on arrival/acceptance.,—,,,,,,,,,,,"OK – Receiving encounter created on arrival/endorsement.
Workflow: Patient Reception & Endorsement.",
,Route Referral???,REF-45,Navigator (Receiving/PHU),Name/role of receiving navigator,,,Text --- is this name of health unit? ,,,No,,,,,,PractitionerRole,,,PractitionerRole.code (navigator),0..*,CodeableConcept,,—,,,,,,,,,,,"OK – Role supports PHU navigation workflow; define as person (practitioner) with role code “navigator”.
Workflow: Transfer Confirmation / Reception.",
,Route Referral???,REF-46,Navigator (Referring),Name/role of referring navigator,,,Text --- who is this??? how would we know this in clinical workflow? ,,,No,,,,,,PractitionerRole,,,PractitionerRole.code (navigator),0..*,CodeableConcept,If you track navigators explicitly.,—,,,,,,,,,,,"OK – Referring-side navigator/coordinator for handoffs and follow-up.
Workflow: Create Referral & Documentation / Coordination.",
,,,"This is row for pregnancy data elements such as; 

Gravidity and parity? 
Fundal Height
Immunisation Hx??? Rubella
what else? 
Split each as individual concept",,Pregnancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
