Element ID,Data Element,Clinical Information Group,FHIR Resource,FHIR Element (R4),CDG Status,DD Required,Example File,Bundle,Coverage Status,Notes
REF-35,Vital Signs – Oxygen Saturation,07 Clinical Information,Observation,Observation.code + valueQuantity,—,No,observation-oxygen-saturation-ex.json,B,covered,LOINC 59408-5; 98 %
REF-36,Vital Signs – Temperature,07 Clinical Information,Observation,Observation.code + valueQuantity,—,No,observation-temperature-ex.json,B,covered,LOINC 8310-5; 36.8 °C
REF-37,Vital Signs – Weight,07 Clinical Information,Observation,Observation.code + valueQuantity,—,No,observation-weight-ex.json,B,covered,LOINC 29463-7; 55 kg
REF-38,Treatment Given,07 Clinical Information,MedicationAdministration,MedicationAdministration / Procedure.code,—,No,medicationadministration-ifa-ex.json,B,covered,Iron + folic acid tablets dispensed
REF-39,Laboratory Results (attachments),07 Clinical Information,DiagnosticReport,DiagnosticReport + result + presentedForm,—,No,servicerequest-lab-orders-ex.json,B,partial,Lab orders created as ServiceRequest; no DiagnosticReport with results yet
REF-40,Working Impression (clinical reason),07 Clinical Information,Condition,Condition.code,Final for TDG,Yes,condition-pregnancy-ex.json,B,covered,SNOMED 77386006 Pregnant; referenced from ServiceRequest.reasonReference
REF-41,Transport Mode / Ambulance,Logistics,Task,Task.extension(transportMode),—,No,,—,not-covered,Not applicable — outpatient self-transport
REF-42,Response,Referral Decision,Task,Task.businessStatus,In-Review,Yes,task-referral-ex.json,B,covered,businessStatus: requested (pending acceptance)
REF-43,Referring Encounter,System/Back,Encounter,"Encounter.class, period, serviceType",—,Yes,encounter-anc-ex.json; encounter-registration-ex.json,A+B,covered,Registration encounter (A) + ANC encounter (B)
REF-44,Receiving Encounter,System/Back,Encounter,"Encounter.class, period",—,No,,—,not-covered,Created on arrival at receiving facility — not in this scenario
REF-45,Navigator (Receiving/PHU),—,PractitionerRole,PractitionerRole.code (navigator),—,No,,—,not-covered,Not applicable in this scenario
REF-46,Navigator (Referring),—,PractitionerRole,PractitionerRole.code (navigator),—,No,,—,not-covered,Not applicable in this scenario
